Валандово,41.3 22.74,2009-06-19 04:49:08,2.8,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=131103,2009-06-19 05:27:36.625529,Normal,
Дојран,41.23 22.73,2009-06-01 08:03:45,4.5,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129358,2009-07-14 14:42:33.777847,Normal,
Штип,41.85 22.12,2009-07-09 03:31:18,3.2,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=133365,2009-07-09 06:45:26.561036,Normal,
Валандово,41.3 22.7,2009-06-21 10:44:12,2.2,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=131380,2009-06-21 12:51:42.056274,Normal,
Дојран,41.28 22.7,2009-05-28 12:29:57,2.6,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129005,2009-07-14 14:42:33.776291,Normal,
Дојран,41.29 22.66,2009-06-01 08:52:34,2.7,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129364,2009-07-14 14:42:33.778027,Normal,
Валандово,41.3 22.71,2009-06-21 10:44:14,2.2,ML,5.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=131380,2009-06-21 13:26:06.606401,Normal,
Валандово,41.3 22.7,2009-05-28 02:04:09,2.0,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=128974,2009-07-14 14:42:35.064223,Normal,
Валандово,41.3 22.7,2009-05-28 01:33:58,2.0,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=128970,2009-07-14 14:42:35.064405,Normal,
Дојран,41.29 22.7,2009-05-28 19:49:42,2.7,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129079,2009-07-14 14:42:35.064602,Normal,
Дојран,41.23 22.73,2009-06-02 07:14:29,2.7,M,5.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129456,2009-07-14 14:42:34.416739,Normal,
Дојран,41.29 22.75,2009-06-23 00:16:12,2.8,M,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=131618,2009-06-23 00:22:39.069434,Normal,
Дојран,41.27 22.69,2009-06-02 07:14:32,2.6,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129456,2009-07-14 14:42:34.416969,Normal,
Дојран,41.29 22.7,2009-06-06 21:40:30,3.5,M,1.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129861,2009-07-14 14:42:34.417717,Normal,
Валандово,41.3 22.7,2009-06-23 03:52:45,2.3,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=131654,2009-06-23 06:40:41.425479,Normal,
Валандово,41.3 22.7,2009-05-29 21:26:29,2.0,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129171,2009-07-14 14:42:33.777088,Normal,
Валандово,41.3 22.7,2009-05-31 00:28:12,2.0,ML,1.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=129267,2009-07-14 14:42:33.777269,Normal,
Валандово,41.35 22.71,2009-06-13 09:19:35,2.5,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130531,2009-06-13 09:32:54.362697,Normal,
Дојран,41.29 22.74,2009-06-13 10:58:18,3.5,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130541,2009-06-13 11:13:39.768370,Normal,
Струмица,41.34 22.68,2009-06-13 12:29:16,2.6,ML,9.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130545,2009-06-13 12:59:27.217071,Normal,
Валандово,41.32 22.66,2009-06-13 15:23:44,2.3,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130553,2009-06-13 16:49:59.268300,Normal,
Валандово,41.3 22.7,2009-06-15 10:00:32,2.5,ML,2.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130759,2009-06-15 10:30:08.226143,Normal,
Валандово,41.3 22.7,2009-06-15 11:25:01,2.3,ML,1.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130767,2009-06-15 11:45:48.262113,Normal,
Валандово,41.3 22.7,2009-06-17 06:24:55,2.3,ML,1.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130919,2009-06-17 06:53:06.957034,Normal,
Радовиш,41.55 22.5,2009-07-05 10:42:59,2.5,ML,5.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=133028,2009-07-05 10:49:34.746032,Normal,
Валандово,41.3 22.7,2009-06-17 08:13:33,2.0,ML,10.0,http://www.emsc-csem.org/index.php?page=current&sub=detail&id=130953,2009-06-17 11:51:15.961025,Normal,
